problem_id,answer
1,E
2,A
3,B
4,D
5,B
6,C
7,B
8,D
9,C
10,D
11,C
12,C
13,B
14,C
15,E
16,B
17,D
18,C
19,D
20,C
21,B
22,C
23,E
24,B
25,A
26,E
27,C
28,E
29,E
30,D
31,E
32,C
33,B
34,B
35,D
36,C
37,D
38,E
39,A
40,C
41,D
42,C
43,D
44,D
45,B
46,B
47,D
48,D
49,B
50,B
51,D
52,C
53,B
54,E
55,C
56,A
57,A
58,A
59,B
60,A
61,B
62,B
63,B
64,B
65,E
66,B
67,D
68,D
69,E
70,D
71,D
72,C
73,D
74,A
75,C
76,E
77,C
78,A
79,D
80,E
81,B
82,E
83,D
84,D
85,C
86,B
87,E
88,D
89,B
90,E
91,D
92,C
93,D
94,C
95,B
96,B
97,B
98,D
99,D
100,A
101,C
102,B
103,D
104,C
105,C
106,D
107,B
108,E
109,B
110,C
111,A
112,C
113,B
114,A
115,D
116,D
117,C
118,C
119,A
120,A
121,B
122,B
123,B
124,D
125,D
126,D
127,B
128,D
129,A
130,B
131,C
132,B
133,E
134,A
135,E
136,E
137,A
138,A
139,A
140,C
141,C
142,B
143,B
144,C
145,E
146,D
147,B
148,C
149,E
150,B
151,C
152,D
153,B
154,A
155,C
156,D
157,B
158,B
159,B
160,C
161,A
162,C
163,E
164,D
165,E
166,E
167,B
168,D
169,E
170,D
171,C
172,B
173,D
174,E
175,B
176,A
177,B
178,E
179,D
180,C
181,E
182,C
183,B
184,B
185,D
186,C
187,C
188,D
189,A
190,D
191,D
192,C
193,A
194,C
195,D
196,B
197,D
198,D
199,D
200,B
201,C
202,B
203,A
204,B
205,D
206,C
207,A
208,A
209,B
210,D
211,C
212,A
213,B
214,C
215,A
216,D
217,B
218,E
219,C
220,D
221,A
222,D
223,B
224,B
225,B
226,D
227,C
228,B
229,B
230,A
231,B
232,B
233,C
234,B
235,A
236,B
237,B
238,E
239,E
240,E
241,D
242,D
243,A
244,D
245,A
246,B
247,D
248,C
249,B
250,D
251,A
252,D
253,D
254,D
255,C
256,B
257,B
258,A
259,D
260,A
261,E
262,E
263,C
264,C
265,D
266,D
267,B
268,D
269,B
270,C
271,A
272,C
273,C
274,E
275,C
276,A
277,C
278,B
279,E
280,D
281,B
282,A
283,E
284,C
285,E
286,C
287,C
288,D
289,B
290,D
291,D
292,A
293,C
294,C
295,E
296,E
297,C
298,B
299,B
300,C
301,C
302,A
303,A
304,D
305,B
306,D
307,A
308,B
309,B
310,A
311,C
312,E
313,E
314,D
315,C
316,E
317,D
318,E
319,A
320,E
321,C
322,D
323,D
324,B
325,B
326,C
327,A
328,D
329,A
330,B
331,A
332,D
333,D
334,E
335,E
336,C
337,D
338,B
339,A
340,B
341,E
342,D
343,C
344,C
345,D
346,C
347,D
348,B
349,B
350,D
351,E
352,E
353,B
