problem_id,year,version,problem_num,contest_label,slug,problem_url,contest_url,category
1,2000,,1,2000 AMC 10,2000_AMC_10,https://artofproblemsolving.com/wiki/index.php/2000_AMC_10_Problems/Problem_1,https://artofproblemsolving.com/wiki/index.php/2000_AMC_10_Problems,Algebra
2,2000,,2,2000 AMC 10,2000_AMC_10,https://artofproblemsolving.com/wiki/index.php/2000_AMC_10_Problems/Problem_2,https://artofproblemsolving.com/wiki/index.php/2000_AMC_10_Problems,Algebra
3,2000,,3,2000 AMC 10,2000_AMC_10,https://artofproblemsolving.com/wiki/index.php/2000_AMC_10_Problems/Problem_3,https://artofproblemsolving.com/wiki/index.php/2000_AMC_10_Problems,Counting & Probability
4,2000,,4,2000 AMC 10,2000_AMC_10,https://artofproblemsolving.com/wiki/index.php/2000_AMC_10_Problems/Problem_4,https://artofproblemsolving.com/wiki/index.php/2000_AMC_10_Problems,Algebra
5,2000,,5,2000 AMC 10,2000_AMC_10,https://artofproblemsolving.com/wiki/index.php/2000_AMC_10_Problems/Problem_5,https://artofproblemsolving.com/wiki/index.php/2000_AMC_10_Problems,Geometry
6,2000,,6,2000 AMC 10,2000_AMC_10,https://artofproblemsolving.com/wiki/index.php/2000_AMC_10_Problems/Problem_6,https://artofproblemsolving.com/wiki/index.php/2000_AMC_10_Problems,Algebra
7,2000,,7,2000 AMC 10,2000_AMC_10,https://artofproblemsolving.com/wiki/index.php/2000_AMC_10_Problems/Problem_7,https://artofproblemsolving.com/wiki/index.php/2000_AMC_10_Problems,Geometry
8,2000,,8,2000 AMC 10,2000_AMC_10,https://artofproblemsolving.com/wiki/index.php/2000_AMC_10_Problems/Problem_8,https://artofproblemsolving.com/wiki/index.php/2000_AMC_10_Problems,Algebra
9,2000,,9,2000 AMC 10,2000_AMC_10,https://artofproblemsolving.com/wiki/index.php/2000_AMC_10_Problems/Problem_9,https://artofproblemsolving.com/wiki/index.php/2000_AMC_10_Problems,Algebra
10,2000,,10,2000 AMC 10,2000_AMC_10,https://artofproblemsolving.com/wiki/index.php/2000_AMC_10_Problems/Problem_10,https://artofproblemsolving.com/wiki/index.php/2000_AMC_10_Problems,Algebra
11,2000,,11,2000 AMC 10,2000_AMC_10,https://artofproblemsolving.com/wiki/index.php/2000_AMC_10_Problems/Problem_11,https://artofproblemsolving.com/wiki/index.php/2000_AMC_10_Problems,Number Theory
12,2000,,12,2000 AMC 10,2000_AMC_10,https://artofproblemsolving.com/wiki/index.php/2000_AMC_10_Problems/Problem_12,https://artofproblemsolving.com/wiki/index.php/2000_AMC_10_Problems,Counting & Probability
13,2000,,13,2000 AMC 10,2000_AMC_10,https://artofproblemsolving.com/wiki/index.php/2000_AMC_10_Problems/Problem_13,https://artofproblemsolving.com/wiki/index.php/2000_AMC_10_Problems,Counting & Probability
14,2000,,14,2000 AMC 10,2000_AMC_10,https://artofproblemsolving.com/wiki/index.php/2000_AMC_10_Problems/Problem_14,https://artofproblemsolving.com/wiki/index.php/2000_AMC_10_Problems,Counting & Probability
15,2000,,15,2000 AMC 10,2000_AMC_10,https://artofproblemsolving.com/wiki/index.php/2000_AMC_10_Problems/Problem_15,https://artofproblemsolving.com/wiki/index.php/2000_AMC_10_Problems,Algebra
16,2000,,16,2000 AMC 10,2000_AMC_10,https://artofproblemsolving.com/wiki/index.php/2000_AMC_10_Problems/Problem_16,https://artofproblemsolving.com/wiki/index.php/2000_AMC_10_Problems,Geometry
17,2000,,17,2000 AMC 10,2000_AMC_10,https://artofproblemsolving.com/wiki/index.php/2000_AMC_10_Problems/Problem_17,https://artofproblemsolving.com/wiki/index.php/2000_AMC_10_Problems,Counting & Probability
18,2000,,18,2000 AMC 10,2000_AMC_10,https://artofproblemsolving.com/wiki/index.php/2000_AMC_10_Problems/Problem_18,https://artofproblemsolving.com/wiki/index.php/2000_AMC_10_Problems,Geometry
19,2000,,19,2000 AMC 10,2000_AMC_10,https://artofproblemsolving.com/wiki/index.php/2000_AMC_10_Problems/Problem_19,https://artofproblemsolving.com/wiki/index.php/2000_AMC_10_Problems,Geometry
20,2000,,20,2000 AMC 10,2000_AMC_10,https://artofproblemsolving.com/wiki/index.php/2000_AMC_10_Problems/Problem_20,https://artofproblemsolving.com/wiki/index.php/2000_AMC_10_Problems,Algebra
21,2000,,21,2000 AMC 10,2000_AMC_10,https://artofproblemsolving.com/wiki/index.php/2000_AMC_10_Problems/Problem_21,https://artofproblemsolving.com/wiki/index.php/2000_AMC_10_Problems,Algebra
22,2000,,22,2000 AMC 10,2000_AMC_10,https://artofproblemsolving.com/wiki/index.php/2000_AMC_10_Problems/Problem_22,https://artofproblemsolving.com/wiki/index.php/2000_AMC_10_Problems,Counting & Probability
23,2000,,23,2000 AMC 10,2000_AMC_10,https://artofproblemsolving.com/wiki/index.php/2000_AMC_10_Problems/Problem_23,https://artofproblemsolving.com/wiki/index.php/2000_AMC_10_Problems,Algebra
24,2000,,24,2000 AMC 10,2000_AMC_10,https://artofproblemsolving.com/wiki/index.php/2000_AMC_10_Problems/Problem_24,https://artofproblemsolving.com/wiki/index.php/2000_AMC_10_Problems,Algebra
25,2000,,25,2000 AMC 10,2000_AMC_10,https://artofproblemsolving.com/wiki/index.php/2000_AMC_10_Problems/Problem_25,https://artofproblemsolving.com/wiki/index.php/2000_AMC_10_Problems,Algebra
26,2001,,1,2001 AMC 10,2001_AMC_10,https://artofproblemsolving.com/wiki/index.php/2001_AMC_10_Problems/Problem_1,https://artofproblemsolving.com/wiki/index.php/2001_AMC_10_Problems,Algebra
27,2001,,2,2001 AMC 10,2001_AMC_10,https://artofproblemsolving.com/wiki/index.php/2001_AMC_10_Problems/Problem_2,https://artofproblemsolving.com/wiki/index.php/2001_AMC_10_Problems,Algebra
28,2001,,3,2001 AMC 10,2001_AMC_10,https://artofproblemsolving.com/wiki/index.php/2001_AMC_10_Problems/Problem_3,https://artofproblemsolving.com/wiki/index.php/2001_AMC_10_Problems,Algebra
29,2001,,4,2001 AMC 10,2001_AMC_10,https://artofproblemsolving.com/wiki/index.php/2001_AMC_10_Problems/Problem_4,https://artofproblemsolving.com/wiki/index.php/2001_AMC_10_Problems,Geometry
30,2001,,5,2001 AMC 10,2001_AMC_10,https://artofproblemsolving.com/wiki/index.php/2001_AMC_10_Problems/Problem_5,https://artofproblemsolving.com/wiki/index.php/2001_AMC_10_Problems,Counting & Probability
31,2001,,6,2001 AMC 10,2001_AMC_10,https://artofproblemsolving.com/wiki/index.php/2001_AMC_10_Problems/Problem_6,https://artofproblemsolving.com/wiki/index.php/2001_AMC_10_Problems,Number Theory
32,2001,,7,2001 AMC 10,2001_AMC_10,https://artofproblemsolving.com/wiki/index.php/2001_AMC_10_Problems/Problem_7,https://artofproblemsolving.com/wiki/index.php/2001_AMC_10_Problems,Algebra
33,2001,,8,2001 AMC 10,2001_AMC_10,https://artofproblemsolving.com/wiki/index.php/2001_AMC_10_Problems/Problem_8,https://artofproblemsolving.com/wiki/index.php/2001_AMC_10_Problems,Counting & Probability
34,2001,,9,2001 AMC 10,2001_AMC_10,https://artofproblemsolving.com/wiki/index.php/2001_AMC_10_Problems/Problem_9,https://artofproblemsolving.com/wiki/index.php/2001_AMC_10_Problems,Algebra
35,2001,,10,2001 AMC 10,2001_AMC_10,https://artofproblemsolving.com/wiki/index.php/2001_AMC_10_Problems/Problem_10,https://artofproblemsolving.com/wiki/index.php/2001_AMC_10_Problems,Algebra
36,2001,,11,2001 AMC 10,2001_AMC_10,https://artofproblemsolving.com/wiki/index.php/2001_AMC_10_Problems/Problem_11,https://artofproblemsolving.com/wiki/index.php/2001_AMC_10_Problems,Geometry
37,2001,,12,2001 AMC 10,2001_AMC_10,https://artofproblemsolving.com/wiki/index.php/2001_AMC_10_Problems/Problem_12,https://artofproblemsolving.com/wiki/index.php/2001_AMC_10_Problems,Number Theory
38,2001,,13,2001 AMC 10,2001_AMC_10,https://artofproblemsolving.com/wiki/index.php/2001_AMC_10_Problems/Problem_13,https://artofproblemsolving.com/wiki/index.php/2001_AMC_10_Problems,Number Theory
39,2001,,14,2001 AMC 10,2001_AMC_10,https://artofproblemsolving.com/wiki/index.php/2001_AMC_10_Problems/Problem_14,https://artofproblemsolving.com/wiki/index.php/2001_AMC_10_Problems,Algebra
40,2001,,15,2001 AMC 10,2001_AMC_10,https://artofproblemsolving.com/wiki/index.php/2001_AMC_10_Problems/Problem_15,https://artofproblemsolving.com/wiki/index.php/2001_AMC_10_Problems,Geometry
41,2001,,16,2001 AMC 10,2001_AMC_10,https://artofproblemsolving.com/wiki/index.php/2001_AMC_10_Problems/Problem_16,https://artofproblemsolving.com/wiki/index.php/2001_AMC_10_Problems,Algebra
42,2001,,17,2001 AMC 10,2001_AMC_10,https://artofproblemsolving.com/wiki/index.php/2001_AMC_10_Problems/Problem_17,https://artofproblemsolving.com/wiki/index.php/2001_AMC_10_Problems,Geometry
43,2001,,18,2001 AMC 10,2001_AMC_10,https://artofproblemsolving.com/wiki/index.php/2001_AMC_10_Problems/Problem_18,https://artofproblemsolving.com/wiki/index.php/2001_AMC_10_Problems,Geometry
44,2001,,19,2001 AMC 10,2001_AMC_10,https://artofproblemsolving.com/wiki/index.php/2001_AMC_10_Problems/Problem_19,https://artofproblemsolving.com/wiki/index.php/2001_AMC_10_Problems,Counting & Probability
45,2001,,20,2001 AMC 10,2001_AMC_10,https://artofproblemsolving.com/wiki/index.php/2001_AMC_10_Problems/Problem_20,https://artofproblemsolving.com/wiki/index.php/2001_AMC_10_Problems,Geometry
46,2001,,21,2001 AMC 10,2001_AMC_10,https://artofproblemsolving.com/wiki/index.php/2001_AMC_10_Problems/Problem_21,https://artofproblemsolving.com/wiki/index.php/2001_AMC_10_Problems,Geometry
47,2001,,22,2001 AMC 10,2001_AMC_10,https://artofproblemsolving.com/wiki/index.php/2001_AMC_10_Problems/Problem_22,https://artofproblemsolving.com/wiki/index.php/2001_AMC_10_Problems,Geometry
48,2001,,23,2001 AMC 10,2001_AMC_10,https://artofproblemsolving.com/wiki/index.php/2001_AMC_10_Problems/Problem_23,https://artofproblemsolving.com/wiki/index.php/2001_AMC_10_Problems,Counting & Probability
49,2001,,24,2001 AMC 10,2001_AMC_10,https://artofproblemsolving.com/wiki/index.php/2001_AMC_10_Problems/Problem_24,https://artofproblemsolving.com/wiki/index.php/2001_AMC_10_Problems,Geometry
50,2001,,25,2001 AMC 10,2001_AMC_10,https://artofproblemsolving.com/wiki/index.php/2001_AMC_10_Problems/Problem_25,https://artofproblemsolving.com/wiki/index.php/2001_AMC_10_Problems,Counting & Probability
51,2002,A,1,2002 AMC 10A,2002_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2002_AMC_10A_Problems/Problem_1,https://artofproblemsolving.com/wiki/index.php/2002_AMC_10A_Problems,Algebra
52,2002,A,2,2002 AMC 10A,2002_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2002_AMC_10A_Problems/Problem_2,https://artofproblemsolving.com/wiki/index.php/2002_AMC_10A_Problems,Algebra
53,2002,A,3,2002 AMC 10A,2002_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2002_AMC_10A_Problems/Problem_3,https://artofproblemsolving.com/wiki/index.php/2002_AMC_10A_Problems,Counting & Probability
54,2002,A,4,2002 AMC 10A,2002_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2002_AMC_10A_Problems/Problem_4,https://artofproblemsolving.com/wiki/index.php/2002_AMC_10A_Problems,Counting & Probability
55,2002,A,5,2002 AMC 10A,2002_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2002_AMC_10A_Problems/Problem_5,https://artofproblemsolving.com/wiki/index.php/2002_AMC_10A_Problems,Geometry
56,2002,A,6,2002 AMC 10A,2002_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2002_AMC_10A_Problems/Problem_6,https://artofproblemsolving.com/wiki/index.php/2002_AMC_10A_Problems,Algebra
57,2002,A,7,2002 AMC 10A,2002_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2002_AMC_10A_Problems/Problem_7,https://artofproblemsolving.com/wiki/index.php/2002_AMC_10A_Problems,Geometry
58,2002,A,8,2002 AMC 10A,2002_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2002_AMC_10A_Problems/Problem_8,https://artofproblemsolving.com/wiki/index.php/2002_AMC_10A_Problems,Geometry
59,2002,A,9,2002 AMC 10A,2002_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2002_AMC_10A_Problems/Problem_9,https://artofproblemsolving.com/wiki/index.php/2002_AMC_10A_Problems,Algebra
60,2002,A,10,2002 AMC 10A,2002_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2002_AMC_10A_Problems/Problem_10,https://artofproblemsolving.com/wiki/index.php/2002_AMC_10A_Problems,Algebra
61,2002,A,11,2002 AMC 10A,2002_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2002_AMC_10A_Problems/Problem_11,https://artofproblemsolving.com/wiki/index.php/2002_AMC_10A_Problems,Algebra
62,2002,A,12,2002 AMC 10A,2002_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2002_AMC_10A_Problems/Problem_12,https://artofproblemsolving.com/wiki/index.php/2002_AMC_10A_Problems,Algebra
63,2002,A,13,2002 AMC 10A,2002_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2002_AMC_10A_Problems/Problem_13,https://artofproblemsolving.com/wiki/index.php/2002_AMC_10A_Problems,Geometry
64,2002,A,14,2002 AMC 10A,2002_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2002_AMC_10A_Problems/Problem_14,https://artofproblemsolving.com/wiki/index.php/2002_AMC_10A_Problems,Algebra
65,2002,A,15,2002 AMC 10A,2002_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2002_AMC_10A_Problems/Problem_15,https://artofproblemsolving.com/wiki/index.php/2002_AMC_10A_Problems,Number Theory
66,2002,A,16,2002 AMC 10A,2002_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2002_AMC_10A_Problems/Problem_16,https://artofproblemsolving.com/wiki/index.php/2002_AMC_10A_Problems,Algebra
67,2002,A,17,2002 AMC 10A,2002_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2002_AMC_10A_Problems/Problem_17,https://artofproblemsolving.com/wiki/index.php/2002_AMC_10A_Problems,Algebra
68,2002,A,18,2002 AMC 10A,2002_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2002_AMC_10A_Problems/Problem_18,https://artofproblemsolving.com/wiki/index.php/2002_AMC_10A_Problems,Counting & Probability
69,2002,A,19,2002 AMC 10A,2002_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2002_AMC_10A_Problems/Problem_19,https://artofproblemsolving.com/wiki/index.php/2002_AMC_10A_Problems,Geometry
70,2002,A,20,2002 AMC 10A,2002_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2002_AMC_10A_Problems/Problem_20,https://artofproblemsolving.com/wiki/index.php/2002_AMC_10A_Problems,Geometry
71,2002,A,21,2002 AMC 10A,2002_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2002_AMC_10A_Problems/Problem_21,https://artofproblemsolving.com/wiki/index.php/2002_AMC_10A_Problems,Algebra
72,2002,A,22,2002 AMC 10A,2002_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2002_AMC_10A_Problems/Problem_22,https://artofproblemsolving.com/wiki/index.php/2002_AMC_10A_Problems,Algebra
73,2002,A,23,2002 AMC 10A,2002_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2002_AMC_10A_Problems/Problem_23,https://artofproblemsolving.com/wiki/index.php/2002_AMC_10A_Problems,Geometry
74,2002,A,24,2002 AMC 10A,2002_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2002_AMC_10A_Problems/Problem_24,https://artofproblemsolving.com/wiki/index.php/2002_AMC_10A_Problems,Counting & Probability
75,2002,A,25,2002 AMC 10A,2002_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2002_AMC_10A_Problems/Problem_25,https://artofproblemsolving.com/wiki/index.php/2002_AMC_10A_Problems,Geometry
76,2002,B,1,2002 AMC 10B,2002_AMC_10B,https://artofproblemsolving.com/wiki/index.php/2002_AMC_10B_Problems/Problem_1,https://artofproblemsolving.com/wiki/index.php/2002_AMC_10B_Problems,Algebra
77,2002,B,2,2002 AMC 10B,2002_AMC_10B,https://artofproblemsolving.com/wiki/index.php/2002_AMC_10B_Problems/Problem_2,https://artofproblemsolving.com/wiki/index.php/2002_AMC_10B_Problems,Algebra
